(3.59, 0.61)
(15.36, 6.58)
(0.49, 2.26)
(-11.97, -22.10)
(-2.72, -14.83)
(-2.84, -1.86)
(-1.08, 4.29)
(9.23, 12.78)
(19.98, 9.01)
(14.92, 10.85)
(2.06, 0.08)
(-34.06, -20.98)
(3.98, -0.09)
(14.55, -7.77)
(5.83, 0.84)
(16.14, 15.02)
(6.63, -0.50)
(-5.93, 0.78)
(-10.29, -13.34)
(-1.75, -8.35)
(3.19, -3.40)
(6.28, 2.89)
(7.45, 10.40)
(1.60, 9.00)
(-0.94, -10.36)
(2.40, -6.38)
(4.12, -0.85)
(13.68, 12.68)
(-3.06, -32.20)
(-1.72, -5.61)
(4.50, 26.80)
(9.18, 11.58)
(5.68, 2.87)
(4.87, -1.72)
(-1.47, -7.90)
(-6.47, -8.10)
(-9.82, -4.36)
(20.72, 8.73)
(15.90, 10.69)
(3.77, 1.19)
(-7.90, -4.73)
(-3.85, -11.35)
(0.95, -3.57)
(4.13, -0.81)
(6.17, 2.14)
(4.51, 8.10)
(-0.18, 4.87)
(-2.58, 4.52)
(6.41, -3.56)
(4.82, 0.36)
(9.03, 1.84)
(-1.01, -8.15)
(3.23, -10.29)
(1.66, -4.39)
(5.83, 9.17)
(6.34, 10.53)
(1.89, -10.28)
(4.67, -6.59)
(2.32, 0.38)
(4.98, 15.49)
(3.89, 6.36)
