AAABAABAACAA,AAABAABAACAAA,S.E.E.ES..
AAABBABABBCAAAA,AAABBABABBCAAAAA,..........
AAABBBACBCBA,AAABBBACBCBAC,....EE...E
AAABAABBB,AAABAABBBA,........EE
AAABAABBBB,AAABAABBBBB,.ES.S...EE
AAABAACBABCBAA,AAABAACBABCBAAB,EE....E...
AAABAACAABBCBCB,AAABAACAABBCBCBB,..E.EEE...
AAABAABAABBACA,AAABAABAABBACAB,.S...E.E..
AAABBCABCBACCB,AAABBCABCBACCBB,SSEE....EE
AAAACAACBCAAAB,AAAACAACBCAAABA,EE.S....S.
AAAACAABABBBAA,AAAACAABABBBAAA,.......E..
AAAAAAAABAAABBA,AAAAAAAABAAABBAB,......S..E
AAAACAABAAABAAA,AAAACAABAAABAAAA,SS.E.ES...
AAAACAAABBAAAAA,AAAACAAABBAAAAAA,...E....E.
AAABAABB,AAABAABBA,S...S.....
AAABBBACAACAAC,AAABBBACAACAACA,SS....EE.S
AAABBBACBCAAAC,AAABBBACBCAAACA,........S.
AAAAAABAABCBAAB,AAAAAABAABCBAABC,...S.E.SE.
AAAAAAAABBACAA,AAAAAAAABBACAAB,E........S
AAAABAABCBABACA,AAAABAABCBABACAA,SEE.E.....
AAABAABBBBB,AAABAABBBBBA,ES.E....E.
AAABBBACAACAAB,AAABBBACAACAABB,.......E..
AAABAACBBA,AAABAACBBAA,....S.....
AAABBCAAAAABB,AAABBCAAAAABBB,EEE.EE....
AAABBBCABCACA,AAABBBCABCACAA,.....E....
AAABAAAAABAABBB,AAABAAAAABAABBBB,.E..S.S...
AAAABAABCCAAABC,AAAABAABCCAAABCB,...E......
AAAAAAAAACCCCCA,AAAAAAAAACCCCCAC,EEEE...E..
AAABBBBABACAB,AAABBBBABACABA,.E...E....
AAAABAAAAAABAAA,AAAABAAAAAABAAAC,...S..SE..
AAAABAAAAAAACB,AAAABAAAAAAACBA,..S.E..EE.
AAAABAABAACAC,AAAABAABAACACB,.....SEE..
AAABAABBBAACACC,AAABAABBBAACACCC,EE..S.SEE.
AAAAAAAAACBCCAA,AAAAAAAAACBCCAAA,.E....S...
AAABBBCABCACAAC,AAABBBCABCACAACA,.ESEE....S
AAAAAABABBBBAAB,AAAAAABABBBBAABA,E.EE....ES
AAAAAAAABBB,AAAAAAAABBBB,E.....SES.
AAABBABABCAAB,AAABBABABCAABB,..S.S..S.E
AAAACAABAC,AAAACAABACB,E.S..S.S..
AAAACAAABBBCAA,AAAACAAABBBCAAB,...EE...E.
AAAABAABCBCAABC,AAAABAABCBCAABCA,..SS..EE..
AAABBBACABAAA,AAABBBACABAAAA,.........E
AAABBBBACBAAABB,AAABBBBACBAAABBA,E...ES.S..
AAABBAAAAACAA,AAABBAAAAACAAA,EE..S..S..
AAABBCABCBBBAAA,AAABBCABCBBBAAAB,..ES...E..
AAAAAABAABCBCA,AAAAAABAABCBCAA,.SE..EE.S.
AAAABAABCBACBBA,AAAABAABCBACBBAA,E....E.E.E
AAABAABBAAAAAAA,AAABAABBAAAAAAAA,.....S..S.
